,name,tstat
0,mean_5,0.07233744584563956
1,aroon_5,0.08944561740768504
2,rsi_5,0.05613602070104822
3,mean_6,0.07514245616956536
4,aroon_6,0.06268365042602532
5,rsi_6,0.07919894573389222
6,mean_7,0.08115869257442085
7,aroon_7,0.06326530487060678
8,rsi_7,0.04290121036723653
9,mean_8,0.07511959972484658
10,band_8,0.024070147673257877
11,aroon_8,0.05060806325263109
12,rsi_8,0.0230253168213138
13,mean_9,0.06958997058678808
14,band_9,0.02414673579668986
15,aroon_9,0.030505674382466746
16,rsi_9,0.03994858138296333
17,mean_10,0.06421966232998443
18,band_10,0.052222030885112375
19,aroon_10,0.02482172509766557
20,rsi_10,0.015200454172859288
21,mean_11,0.05878458750532169
22,band_11,0.04971101133007813
23,aroon_11,0.02411765806926278
24,rsi_11,0.012633178256302523
25,mean_12,0.04220469535418801
26,band_12,0.06630828611286893
27,aroon_12,0.013100047123544449
28,mean_13,0.04040710503572894
29,band_13,0.06281177675814442
30,mean_14,0.033175400324303925
31,band_14,0.10545051772756885
32,aroon_14,0.0034551873081919136
33,mean_15,0.03425235040916841
34,band_15,0.05285065476194071
35,mean_16,0.03593303630919596
36,band_16,0.0654625083018328
37,rsi_16,0.009254915055519633
38,mean_17,0.030055478623416225
39,band_17,0.06299658989629218
40,mean_18,0.0356965979063557
41,band_18,0.049435777787368934
42,rsi_18,0.008332781337214408
43,mean_19,0.036138170220705916
44,band_19,0.035910618745557905
45,aroon_19,0.02301507888454497
46,rsi_19,0.03232598402876336
47,mean_20,0.03026417097684549
48,band_20,0.011003530551360248
49,aroon_20,0.010031424380451634
50,mean_21,0.029433891283746093
51,band_21,0.019025480202042453
52,mean_22,0.02767965578026149
53,band_22,0.024338885978715204
54,aroon_22,0.01474038858055901
55,mean_23,0.0265816025560324
56,band_23,0.027771349999329866
57,aroon_23,0.03135092742114125
58,mean_24,0.020750241691436296
59,band_24,0.005704270419179707
60,aroon_24,0.014581670754441618
61,mean_25,0.02064333059931509
62,band_25,0.012189771378165598
63,aroon_25,0.026952186081521345
64,mean_26,0.022436534249939716
65,band_26,0.02740896486156032
66,aroon_26,0.025447072795492836
67,rsi_26,0.04579293819343052
68,mean_27,0.024528534350779865
69,band_27,0.02433677659936682
70,aroon_27,0.03630607238990756
71,rsi_27,0.05476887756946237
72,mean_28,0.02520290292403025
73,band_28,0.02261435610417195
74,aroon_28,0.04305866357550421
75,rsi_28,0.04945986352858094
76,mean_29,0.03011130879801678
77,band_29,0.04144330647196768
78,aroon_29,0.029321477718536756
79,rsi_29,0.0431032865612586
80,mean_30,0.026171576521818805
81,band_30,0.041873961358015584
82,aroon_30,0.0324741040811214
83,rsi_30,0.062791421489872
84,mean_31,0.022571317911241822
85,band_31,0.02836786976274221
86,aroon_31,0.02481675128335524
87,rsi_31,0.05816605825267322
88,mean_32,0.024026566061383245
89,band_32,0.019343624867813564
90,aroon_32,0.026111816335348703
91,rsi_32,0.02413899089645026
92,mean_33,0.02499853482445865
93,band_33,0.012798603528637308
94,aroon_33,0.036130318405681844
95,rsi_33,0.01130938893995642
96,mean_34,0.029751413662445648
97,band_34,0.0237605621036181
98,aroon_34,0.030522267513413737
99,rsi_34,0.007374222892029032
100,mean_35,0.028400911130140358
101,band_35,0.04563802286006345
102,aroon_35,0.02573547672847475
103,rsi_35,0.04894079361315906
104,mean_36,0.02383315628768108
105,band_36,0.03408193798714565
106,aroon_36,0.026469699168427323
107,rsi_36,0.010758614089251751
108,mean_37,0.01579816105536625
109,band_37,0.03191754388008139
110,aroon_37,0.034768394426370725
111,rsi_37,0.01128233300120381
112,mean_38,0.015518125581620771
113,band_38,0.03808733468885402
114,aroon_38,0.034854652794844045
115,mean_39,0.016479481042762006
116,band_39,0.034559166989607426
117,aroon_39,0.04204961246020808
118,rsi_39,0.004060569348919709
119,mean_40,0.015178636537752884
120,band_40,0.051620069996381135
121,aroon_40,0.035932268841988926
122,mean_41,0.01743975436930206
123,band_41,0.05064127521148165
124,aroon_41,0.03107836205290138
125,rsi_41,0.016377026403921278
126,mean_42,0.012075641116043614
127,band_42,0.030659108949448267
128,aroon_42,0.02620053930653169
129,rsi_42,0.020778847524325555
130,mean_43,0.010518261829080994
131,band_43,0.025922589374524355
132,aroon_43,0.030991260987533634
133,rsi_43,0.04051757446925875
134,mean_44,0.009696650596131092
135,band_44,0.007097498368327352
136,aroon_44,0.03149297760361734
137,rsi_44,0.03348626427699578
138,mean_45,0.009216758708563859
139,band_45,0.00981844080117549
140,aroon_45,0.029389052144661813
141,rsi_45,0.04101145113594221
142,mean_46,0.00658883341785665
143,band_46,0.03384210330540367
144,aroon_46,0.018175542373389662
145,rsi_46,0.012007807890879085
146,mean_47,0.007482725348084539
147,band_47,0.03455101113699064
148,aroon_47,0.01578862792400303
149,rsi_47,0.02698691276583341
150,mean_48,0.007893204432747105
151,band_48,0.04486198521008692
152,aroon_48,0.020017497736348006
153,rsi_48,0.02843540815653068
154,mean_49,0.008322818428171754
155,band_49,0.04963305924045814
156,aroon_49,0.01978829887789865
157,rsi_49,0.047341670001183896
158,mean_50,0.00929539995318493
159,band_50,0.05748432420392257
160,aroon_50,0.024209117952218074
161,rsi_50,0.03478378275282338
